Acidulated (Sauer) Malt,"sour, lactic","High lactic acid. For lambics, sour mash beers, Irish stout, pilsners and wheats.",,33,33,2.8,7
Amber Malt,"dry, biscuit, nutty","Roasted malt used in British milds, old ales, brown ales, nut brown ales. Imparts a dry, biscuit flavor. Use in porters, brown, nut brown and Belgian ales.",,32,32,35,65
Aromatic Malt,big malt aroma,"Imparts a big malt aroma. Use in brown ales, Belgian dubbels and tripels.",,36,36,26,20
Belgian Pale Ale Malt,,Use as a base malt for any Belgian style beer with full body.,,38,38,3.8,2.7
Biscuit Malt,warm baked biscuit,Warm baked biscuit flavor and aroma. Increases body. Use in Belgian beers.,,35,35,25,23
Black Barley,dry,Imparts dryness. Unmalted; use in porters and dry stouts.,,27,23,525,525
Black Patent Malt,"sharp, dry, burny, chalky","Provides color and sharp flavor in stouts and porters. Dry, burnt, chalky character. Use in porters, stouts, brown ales and dark lagers.",,26,26,500,600
Brown Malt,dry biscuit,"Imparts a dry, biscuit flavor. Use in porters, brown, nut brown and Belgian ales.",,32,32,65,65
Brown Sugar,"rich, sweet","Imparts rich, sweet flavor. Use in Scottish ales, old ales and holiday beers.",1,46,46,40,40
Brown Sugar - Dark,"rich, sweet","Imparts rich, sweet flavor. Use in Scottish ales, old ales and holiday beers.",1,46,46,60,60
Candi Sugar - Clear,"smooth, sweet aroma","Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use clear for tripels.",1,36,36,0.5,0.5
Candi Sugar - Amber,"smooth, sweet aroma","Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use amber for dubbels.",1,36,36,75,75
Candi Sugar - Dark,"smooth, sweet aroma","Smooth taste, good head retention, sweet aroma and high gravity without being apparent. Use in Belgian and holiday ales. Use amber for dubbels.",1,36,36,275,275
CaraAmber® (crystal malt),,"Adds aroma and color intensity to darker beers. For use in alts, bocks, stouts and porters.",,33,33,31,23
CaraAroma® (crystal malt),deep red,"Imparts a deep red color, adds body and malt aroma. For use in bocks, porters, stouts and ambers.",,34,34,170,130
Carafa I ®,deep aroma,"Gives deep aroma and color to dark beers, bocks, stout, alt and schwarzbier.",,38,38,340,300
Carafa II ®,,"Carafa I, II and III also are available de-husked. Adds aroma, color and body.",,38,38,450,375
Carafa III ®,,"Carafa I, II and III also are available de-husked. Adds aroma, color and body.",,38,38,560,490
CaraFoam® (crystal malt),strong head,Improves head retention and body.,,33,33,2.3,3
CaraHell® (crystal malt),good body,"For light colored beer for body; hefeweizen, pale ale, golden ale, Oktoberfest.",,35,33,12,8
CaraMunich Malt I ®,"caramel, full flavor, copper","Caramel, full flavor, copper color. For Belgian ales, German smoked and bocks. Provides body. For Oktoberfest, bock, porter, stout, red, amber and brown ales.",,35,33,38,30
CaraMunich Malt II ®,"caramel, full flavor, copper","Caramel, full flavor, copper color. For Belgian ales, German smoked and bocks. Provides body. For Oktoberfest, bock, porter, stout, red, amber and brown ales.",,35,33,50,42
CaraMunich Malt III ®,"caramel, full flavor, copper","Caramel, full flavor, copper color. For Belgian ales, German smoked and bocks. Provides body. For Oktoberfest, bock, porter, stout, red, amber and brown ales.",,35,33,60,53
Caramel Pils,"smoother mouth-feel, foam stability","A very light crystal malt that lends body, smoother mouth-feel and foam stability.",,30,30,9,6
CaraPils (Dextrin Malt),head retentive,"Balances body and flavor without adding color, aids in head retention. For any beer.",,33,33,5,5
CaraWheat® Malt,,"For dark ales, hefeweizen, dunkelweizen, wheat bocks and double bocks.",,35,35,53,38
CaraRed® (crystal malt),deep red color,"Provides body and a deep red color for use in red ales, lagers, Scottish ales and alts.",,33,33,20,15
Caravienne Malt,,Belgian light crystal malt. Used in lighter Abbey or Trappist style ales.,,34,34,22,21
Chocolate Malt,"nutty, toasted, chocolate","Use in all types to adjust color and add nutty, toasted flavor. Chocolate flavor.",,34,34,350,475
Chocolate Rye Malt,enhanced aroma,Enhances aroma of dark ales and improves color. For dunkel rye wheat and ale.,,30,30,300,190
Chocolate Wheat Malt,intensified aroma,"Intensifies aroma; improves color. For dark ales, alt, dark wheat, stout and porter.",,38,38,450,375
Corn Sugar,,Use in priming beer or in extract recipes where flaked maize would be used in a mash.,1,37,37,1,1
Crystal Malt 10L,"sweet, mild caramel","Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",,35,33,10,10
Crystal Malt 20L,"sweet, mild caramel","Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",,35,33,20,20
Crystal Malt 30L,"sweet, mild caramel","Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",,35,33,30,30
Crystal Malt 40L,"sweet, mild caramel","Sweet, mild caramel flavor and a golden color. Use in light lagers and light ales.",,35,33,40,40
Crystal Malt 60L,"sweet, caramel","Sweet caramel flavor, deep golden to red color. For dark amber and brown ales.",,35,33,60,60
Crystal Malt 90L,"pronounced caramel, red color","Pronounced caramel flavor and a red color. For stouts, porters and black beers.",,35,33,90,90
Crystal Malt 80L,"sweet, smooth caramel, deep red","Sweet, smooth caramel flavor and a red to deep red color. For porters, old ales.",,35,33,80,80
Crystal Malt 120L,"pronounced caramel, red","Pronounced caramel flavor and a red color. For stouts, porters and black beers.",,35,33,120,120
Dark Crystal Malt,"dweet caramel flavor, noticiable mouthfeel","Sweet caramel flavor, mouthfeel. For porters, stouts, old ales and any dark ale.",,35,33,188,145
De-Bittered Black Malt,deep black color,Will add a deep black color without the astringent flavor of black malt.,,30,30,600,500
Demerara Sugar,"mellow, sweet","Imparts mellow, sweet flavor. Use in English ales.",1,42,41,1,1
Dextrose (glucose),"mildly sweet, smooth",Imparts a mild sweet taste and smoothness. Use in English beers.,,37,37,1,1
Flaked Barley,"creamy, smoothness","Helps head retention, imparts creamy smoothness. For porters and stouts.",,32,32,5,5
Flaked Maize,,Lightens body and color. For light American pilsners and ales.,,37,37,1,1
Flaked Oats,creamy head,Adds body and creamy head. For stouts and oat ales.,,33,33,1,1
Flaked Rye,"dry, crisp","Imparts a dry, crisp character. Use in rye beers.",,36,36,2,2
Flaked Wheat,wheat,"Imparts a wheat flavor, hazy color. For wheat and Belgian white beers.",,36,36,2,2
Franco-Belges Kiln Coffee Malt,coffee,A unique malt which imparts a coffee flavor.,,,,180,150
Gambrinus Honey Malt,nutty honey,"Nutty honey flavor. For brown ales, Belgian wheats, bocks and many other styles.",,34,34,25,25
Grits,"corn, grain taste",Imparts a corn/grain taste. Use in American lagers.,,37,37,5,1
Honey,"sweet, dry",Imparts sweet and dry taste. For honey and brown ales. Also: specialty ales.,1,32,32,12,5
Invert Sugar,,Increases alcohol. Use in some Belgian or English ales. Use as an adjunct for priming. Made from sucrose. No dextrins. Use 1 cup for priming.,1,46,46,,
Kölsch Malt,light sweet biscuit,"Traditionally for Kölsch-style beers, can be used in a variety of German and American styled beers. Adds a light, sweet, biscuity flavor.",,34,34,4.5,4.5
Lactose,"sweetness, big body",Adds sweetness and body. Use in sweet or milk stouts.,,43,43,,
Lager Malt,,Used to make light colored and flavored lagers.,,38,38,6,6
Licorice Stick,smooth flavor,"Adds a smooth flavor to stouts, porters, holiday ales and flavored beers.",,,,,
Lyle's Golden Syrup,,Increases alcohol without flavor. Liquid Invert Sugar. Use in English and Belgian (Chimay) ales.,,36,36,0,0
Malt Extract (Dry) - Extra Light,,,1,44,44,2.5,2.5
Malt Extract (Dry) - Light,,,1,44,44,3.5,3.5
Malt Extract (Dry) - Amber,,,1,44,44,10,10
Malt Extract (Dry) - Dark,,,1,44,44,30,30
Malt Extract (Dry) - Wheat,,,1,44,44,3,3
Malt Extract (Syrup) - Extra Light,,,1,37,33,3.5,3.5
Malt Extract (Syrup) - Light,,,1,37,33,5,3.5
Malt Extract (Syrup) - Amber,,,1,37,33,10,10
Malt Extract (Syrup) - Dark,,,1,37,33,30,30
Malt Extract (Syrup) - Wheat,,,1,37,33,2,2
Malto Dextrin,,Adds body and mouthfeel. For all extract beers. Does not ferment.,,43,43,,
Maple Sap,"crisp, dry, earthy","Crisp dry, earthy flavor. Use in pale ales, porters and maple ales.",,9,9,3,3
